Site,Date,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
Gulf,2022-07-09,3.83,270.85,11.100000000000001,306,16.549999999999997,1.2025,0.1625,0.08750000000000001,0.403,10.6395,1.3649999999999998,9.735,3.3847797095722614
Gulf,2022-07-11,3.47,155.5,9.45,197.45,17.4,0.4235,0.16649999999999998,0.123,0.34650000000000003,9.2635,0.59,8.86,1.7036118980169972
Gulf,2022-07-12,3.7199999999999998,125.85,10.5,137.7,19.8,0.863,0.154,0.08399999999999999,0.42600000000000005,5.5995,1.017,9.483,2.374138083451202
Gulf,2022-07-13,5.130000000000001,140.85000000000002,16.5,204.5,28.6,1.1575000000000002,0.2945,0.22599999999999998,0.558,0.4585,1.452,15.048,2.602249400063608
Gulf,2022-07-14,4.595000000000001,99.4,13,176.3,28.549999999999997,1.8725,0.131,0.052,0.3345,0.15050000000000002,2.0035,10.996500000000001,5.99852577430456
Gulf,2022-07-15,5.32,129.35,9.8,229.5,17.05,2.2355,0.172,0.14250000000000002,0.428,2.4435000000000002,2.4074999999999998,7.3925,5.6210026212319795
Gulf,2022-07-16,3.6900000000000004,108.15,12.4,244.4,28.05,1.532125,0.18787500000000001,0.126125,0.436625,2.1630000000000003,1.72,10.68,3.9366662072088925
Gulf,2022-07-17,4.75,117.55000000000001,13.55,195.9,27.1,1.0670000000000002,0.1575,0.04,0.47950000000000004,8.8415,1.2245,12.3255,2.5763913808344348
Gulf,2022-07-18,5.77,199.35000000000002,16.05,591.5,25.4,1.571,0.2355,0.1495,0.5805,14.568,1.8065,14.243500000000001,3.1097976586641316
Gulf,2022-07-19,7.375,96.05,10.2,160.35,17.6,1.446,0.1525,0.061,0.3755,13.274000000000001,1.5985,8.6015,5.441056910569106
