Site,Date,Temperature,Salinity,Conductivity,DO_mgL,DO_perc,pH,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
Canals,2022-07-11,31.1,41.87,69690,4.3,71.9,8.08,1.2,NA,6.52,681.8,53.95,733.85,74.95,0.7735000000000001,0.162,0.0945,0.040499999999999994,140.382,0.9355,53.0145,25.857843137254903
Gulf,2022-07-11,29.6,36.7,60394,5.93,95.7,8.11,0.8,0.6,3.47,155.5,9.45,197.45,17.4,0.4235,0.16649999999999998,0.123,0.34650000000000003,9.2635,0.59,8.86,1.7036118980169972
Blind Oso,2022-07-12,29.5,36.01,59295,6.17,100.7,7.96,0.45,0.2,39.775,778.2,63.75,1280.05,164.7,0.844,1.092,0.362,2.987,96.75049999999999,1.936,61.814,0.648098902428047
Canals,2022-07-12,31,40.64,67861,2.7,45.2,7.66,1.3,1.2,7.16,650.95,60.35,726.7,76.1,0.7985,0.1275,0.1015,0.0215,140.0845,0.9259999999999999,59.42400000000001,103.04736842105262
Gulf,2022-07-12,29.6,35.35,58379,5.83,92.4,7.89,0.7,0.6,3.7199999999999998,125.85,10.5,137.7,19.8,0.863,0.154,0.08399999999999999,0.42600000000000005,5.5995,1.017,9.483,2.374138083451202
Blind Oso,2022-07-13,30,34.62,57517,5.6,89.1,8.92,0.5,0.3,28.11,715.0999999999999,68.55000000000001,1372.25,178.60000000000002,0.5589999999999999,0.16699999999999998,0.0605,1.0285,75.7925,0.726,67.82400000000001,0.7046609143661248
Canals,2022-07-13,31.3,42.2,70455,2.29,39.1,8.17,1.2,NA,8.425,644.3499999999999,61.75,782.95,90.45,1.678,0.231,0.03,0.07,142.938,1.909,59.840999999999994,27.80078854534136
Gulf,2022-07-13,28.5,36.44,58775,6.1,95.2,8.22,0.7,0.6,5.130000000000001,140.85000000000002,16.5,204.5,28.6,1.1575000000000002,0.2945,0.22599999999999998,0.558,0.4585,1.452,15.048,2.602249400063608
Blind Oso,2022-07-14,29.2,30.65,51036,5.18,81.5,8.52,0.45,0.25,37.875,702.5,56.75,1348.85,170.3,1.0565,0.1265,0.0685,1.6585,66.6135,1.183,55.567,0.7129283506092017
Canals,2022-07-14,31.5,42.31,70830,2.11,36.4,7.75,1.2,1.1,7.18,654.4000000000001,56.2,763.85,72.9,2.752,0.20400000000000001,0.0505,0.139,144.286,2.956,53.244,21.34268058368386
Gulf,2022-07-14,27.8,36.41,58081,6.46,100.8,7.79,0.6,0.5,4.595000000000001,99.4,13,176.3,28.549999999999997,1.8725,0.131,0.052,0.3345,0.15050000000000002,2.0035,10.996500000000001,5.99852577430456
Blind Oso,2022-07-15,28.1,24.99,41687,7.65,112.6,8.96,0.4,0.25,59.56,699,66.65,1493.1,211.3,0.692,6.6754999999999995,0.16999999999999998,0.5675,72.849,7.3675,59.282500000000006,12.984273009011694
Canals,2022-07-15,31.3,41.06,68742,2.42,41.4,8.04,1.3,NA,9.195,647.9,57.7,738.7,69.9,1.7069999999999999,0.21950000000000003,0.111,0.12,147.548,1.9264999999999999,55.7735,16.12504347826087
Gulf,2022-07-15,27.3,35.25,55886,5.95,91.5,8.08,0.6,0.4,5.32,129.35,9.8,229.5,17.05,2.2355,0.172,0.14250000000000002,0.428,2.4435000000000002,2.4074999999999998,7.3925,5.6210026212319795
Blind Oso,2022-07-16,27.9,23.95,39993,9.44,137.3,8.87,0.4,0.15,27.64,693.25,99.3,1460.6,265.65,1.7338749999999998,0.1955,0.07325000000000001,0.08762500000000001,143.714125,1.929375,97.370625,22.33678152396019
Canals,2022-07-16,30.8,42.57,70401,1.57,26.8,7.81,1.3,1.3,4.465,583.2,56.45,670.25,69,0.787875,2.01525,0.16525,1.560375,78.001375,2.8031249999999996,53.646875,1.7965432833089308
Gulf,2022-07-16,26.7,36.29,56638,6.04,98.3,7.83,0.5,0.3,3.6900000000000004,108.15,12.4,244.4,28.05,1.532125,0.18787500000000001,0.126125,0.436625,2.1630000000000003,1.72,10.68,3.9366662072088925
Blind Oso,2022-07-17,28.1,21.9,37011,9.22,125.9,8.3,0.4,0.2,39.474999999999994,696.7,116.30000000000001,1601.05,313.4,1.1025,52.202,0.317,6.751,105.32050000000001,53.304500000000004,62.99550000000001,7.898286985513607
Canals,2022-07-17,31.1,43.14,71543,3.07,52.3,7.82,1.4,1.1,9.99,653.9,59.15,734.1,75.7,1.1335,0.16249999999999998,0.16249999999999998,0.0475,147.64350000000002,1.2959999999999998,57.854,28.14010989010989
Gulf,2022-07-17,27.3,36.73,57972,5.95,92.6,7.78,0.4,0.3,4.75,117.55000000000001,13.55,195.9,27.1,1.0670000000000002,0.1575,0.04,0.47950000000000004,8.8415,1.2245,12.3255,2.5763913808344348
Blind Oso,2022-07-18,29,23.87,40780,9.07,132.9,9.18,0.4,0.2,96.39500000000001,1198.95,98.3,2076.6,312.85,0.692,0.16799999999999998,0.065,3.466,70.91749999999999,0.86,97.44,0.24803425190347556
Canals,2022-07-18,31.3,43.2,71965,2.82,48.4,7.99,1.3,1.2,12.504999999999999,654.05,62.75,788.05,84.3,1.1975,0.166,0.14450000000000002,0.0235,149.239,1.3635000000000002,61.3865,62.77058823529411
Gulf,2022-07-18,28.1,36.79,58934,5.82,90.6,7.6,0.5,0.3,5.77,199.35000000000002,16.05,591.5,25.4,1.571,0.2355,0.1495,0.5805,14.568,1.8065,14.243500000000001,3.1097976586641316
Blind Oso,2022-07-19,28.1,20.06,34111,8.15,118.2,8.97,0.5,0.2,84.25999999999999,562.3,77.65,1562.9,262.5,0.52,33.3635,0.169,9.2395,92.573,33.8835,43.76649999999999,3.667254249027945
Canals,2022-07-19,31.3,43.28,72077,3.24,56.4,7.68,1.2,NA,11.295,643.75,55.349999999999994,743,68.44999999999999,1.323,0.186,0.125,0.083,149.68349999999998,1.509,53.841,18.957349581111956
Gulf,2022-07-19,28.3,36.85,59178,5.81,91.4,7.63,0.4,0.3,7.375,96.05,10.2,160.35,17.6,1.446,0.1525,0.061,0.3755,13.274000000000001,1.5985,8.6015,5.441056910569106
