Date,Site,Rep,Level,Conductivity,Salinity,DO_mgL,DO_perc,pH,Temperature,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
2022-07-11,Canals,A,Surface,69690,41.87,4.3,71.9,8.08,31.1,1.2,NA,5.51,712.6,53.5,755,76.5,0.615,0.161,0.123,0.051,140.084,0.776,52.724,15.215686274509805
2022-07-11,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,7.53,651,54.4,712.7,73.4,0.932,0.163,0.066,0.03,140.68,1.095,53.305,36.5
2022-07-11,Gulf,A,Surface,60394,36.7,5.93,95.7,8.11,29.6,0.8,0.6,2.87,166.1,10.8,220.5,18.2,0.44,0.155,0.117,0.34,9.293,0.595,10.205,1.7499999999999998
2022-07-11,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,4.07,144.9,8.1,174.4,16.6,0.407,0.178,0.129,0.353,9.234,0.585,7.515,1.6572237960339944
2022-07-12,Blind Oso,A,Surface,59295,36.01,6.17,100.7,7.96,29.5,0.45,0.2,47.82,785.4,64.2,1307.6,167,0.819,1.083,0.378,2.951,96.746,1.902,62.298,0.6445272788885124
2022-07-12,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,31.73,771,63.3,1252.5,162.4,0.869,1.101,0.346,3.023,96.755,1.97,61.33,0.6516705259675818
2022-07-12,Canals,A,Surface,67861,40.64,2.7,45.2,7.66,31,1.3,1.2,6.59,644.5,60.6,733.8,77.5,0.82,0.126,0.105,0.038,140.361,0.946,59.654,24.894736842105264
2022-07-12,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,7.73,657.4,60.1,719.6,74.7,0.777,0.129,0.098,0.005,139.808,0.906,59.194,181.2
2022-07-12,Gulf,A,Surface,58379,35.35,5.83,92.4,7.89,29.6,0.7,0.6,3.85,131.1,10.1,144.1,21.8,1.017,0.161,0.087,0.448,5.907,1.178,8.922,2.6294642857142856
2022-07-12,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,3.59,120.6,10.9,131.3,17.8,0.709,0.147,0.081,0.404,5.292,0.856,10.044,2.1188118811881185
2022-07-13,Blind Oso,A,Surface,57517,34.62,5.6,89.1,8.92,30,0.5,0.3,27.96,718.4,67.7,1359.2,177.3,0.493,0.153,0.119,1.009,75.691,0.646,67.054,0.6402378592666007
2022-07-13,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,28.26,711.8,69.4,1385.3,179.9,0.625,0.181,0.002,1.048,75.894,0.806,68.59400000000001,0.7690839694656488
2022-07-13,Canals,A,Surface,70455,42.2,2.29,39.1,8.17,31.3,1.2,NA,8,653.4,62.5,810.9,93,1.679,0.192,0.029,0.079,142.958,1.871,60.629,23.68354430379747
2022-07-13,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,8.85,635.3,61,755,87.9,1.677,0.27,0.031,0.061,142.918,1.947,59.053,31.91803278688525
2022-07-13,Gulf,A,Surface,58775,36.44,6.1,95.2,8.22,28.5,0.7,0.6,5.82,147.8,17,202.7,28.5,1.199,0.273,0.165,0.567,0.126,1.472,15.528,2.596119929453263
2022-07-13,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,4.44,133.9,16,206.3,28.7,1.116,0.316,0.287,0.549,0.791,1.4320000000000002,14.568,2.6083788706739526
2022-07-14,Blind Oso,A,Surface,51036,30.65,5.18,81.5,8.52,29.2,0.45,0.25,38.06,704.9,56,1379.4,173.7,1.004,0.125,0.066,1.625,65.923,1.129,54.871,0.6947692307692308
2022-07-14,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,37.69,700.1,57.5,1318.3,166.9,1.109,0.128,0.071,1.692,67.304,1.237,56.263,0.7310874704491727
2022-07-14,Canals,A,Surface,70830,42.31,2.11,36.4,7.75,31.5,1.2,1.1,7.36,658.7,54.8,746.2,72.5,2.739,0.203,0.057,0.147,144.568,2.9419999999999997,51.858,20.01360544217687
2022-07-14,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,7,650.1,57.6,781.5,73.3,2.765,0.205,0.044,0.131,144.004,2.97,54.63,22.67175572519084
2022-07-14,Gulf,A,Surface,58081,36.41,6.46,100.8,7.79,27.8,0.6,0.5,4.79,98.2,16.3,147.4,41.4,1.926,0.125,0.076,0.352,0.042,2.051,14.249,5.826704545454546
2022-07-14,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,4.4,100.6,9.7,205.2,15.7,1.819,0.137,0.028,0.317,0.259,1.956,7.744,6.170347003154574
2022-07-15,Blind Oso,A,Surface,41687,24.99,7.65,112.6,8.96,28.1,0.4,0.25,59.38,687.5,65.9,1409.4,211.6,0.704,6.703,0.174,0.562,74.638,7.407,58.49300000000001,13.179715302491102
2022-07-15,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,59.74,710.5,67.4,1576.8,211,0.68,6.648,0.166,0.573,71.06,7.327999999999999,60.072,12.788830715532287
2022-07-15,Canals,A,Surface,68742,41.06,2.42,41.4,8.04,31.3,1.3,NA,9.69,652.3,60.4,729,69,1.636,0.167,0.007,0.125,147.509,1.803,58.597,14.424
2022-07-15,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,8.7,643.5,55,748.4,70.8,1.778,0.272,0.215,0.115,147.587,2.05,52.95,17.82608695652174
2022-07-15,Gulf,A,Surface,55886,35.25,5.95,91.5,8.08,27.3,0.6,0.4,5.17,128,10.1,282.3,17.3,2.347,0.197,0.151,0.436,2.607,2.544,7.555999999999999,5.8348623853211015
2022-07-15,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,5.47,130.7,9.5,176.7,16.8,2.124,0.147,0.134,0.42,2.28,2.271,7.229,5.4071428571428575
2022-07-16,Blind Oso,A,Surface,39993,23.95,9.44,137.3,8.87,27.9,0.4,0.15,27.69,695.5,99.1,1458.8,266.8,1.7185,0.172,0.0495,0.09725,143.849,1.8904999999999998,97.20949999999999,19.439588688946014
2022-07-16,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,27.59,691,99.5,1462.4,264.5,1.74925,0.219,0.097,0.078,143.57925,1.96825,97.53175,25.23397435897436
2022-07-16,Canals,A,Surface,70401,42.57,1.57,26.8,7.81,30.8,1.3,1.3,4.97,597.1,53.8,631.2,67.6,1.62225,0.189,0.11975,0.45075,2.1705,1.81125,51.988749999999996,4.018302828618968
2022-07-16,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,3.96,569.3,59.1,709.3,70.4,1.442,0.18675,0.1325,0.4225,2.1555,1.62875,57.471250000000005,3.8550295857988166
2022-07-16,Gulf,A,Surface,56638,36.29,6.04,98.3,7.83,26.7,0.5,0.3,4.78,98.6,12.4,252.4,28.5,0.755,2.016,0.18425,1.53675,78.2495,2.771,9.629000000000001,1.8031560110623066
2022-07-16,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,2.6,117.7,12.4,236.4,27.6,0.82075,2.0145,0.14625,1.584,77.75325,2.83525,9.56475,1.7899305555555554
2022-07-17,Blind Oso,A,Surface,37011,21.9,9.22,125.9,8.3,28.1,0.4,0.2,35.69,711.1,120.7,1621.1,319,1.08,52.072,0.291,6.621,105.117,53.152,67.548,8.027790363993354
2022-07-17,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,43.26,682.3,111.9,1581,307.8,1.125,52.332,0.343,6.881,105.524,53.457,58.443000000000005,7.768783607033861
2022-07-17,Canals,A,Surface,71543,43.14,3.07,52.3,7.82,31.1,1.4,1.1,10.01,653.9,58.4,735.1,75,1.133,0.175,0.175,0.056,148.32,1.308,57.092,23.357142857142858
2022-07-17,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,9.97,653.9,59.9,733.1,76.4,1.134,0.15,0.15,0.039,146.967,1.2839999999999998,58.616,32.92307692307692
2022-07-17,Gulf,A,Surface,57972,36.73,5.95,92.6,7.78,27.3,0.4,0.3,4.27,117.4,13.9,196.3,29.2,1.112,0.155,0.045,0.442,8.987,1.2670000000000001,12.633000000000001,2.866515837104073
2022-07-17,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,5.23,117.7,13.2,195.5,25,1.022,0.16,0.035,0.517,8.696,1.182,12.017999999999999,2.2862669245647966
2022-07-18,Blind Oso,A,Surface,40780,23.87,9.07,132.9,9.18,29,0.4,0.2,105.34,1043.5,73.3,1888.2,309.6,0.698,0.124,0.095,3.428,70.961,0.822,72.478,0.2397899649941657
2022-07-18,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,87.45,1354.4,123.3,2265,316.1,0.686,0.212,0.035,3.504,70.874,0.898,122.402,0.2562785388127854
2022-07-18,Canals,A,Surface,71965,43.2,2.82,48.4,7.99,31.3,1.3,1.2,12.93,650.1,63.8,795.2,86.3,1.206,0.162,0.136,0.03,149.11,1.3679999999999999,62.431999999999995,45.599999999999994
2022-07-18,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,12.08,658,61.7,780.9,82.3,1.189,0.17,0.153,0.017,149.368,1.359,60.341,79.94117647058823
2022-07-18,Gulf,A,Surface,58934,36.79,5.82,90.6,7.6,28.1,0.5,0.3,5.97,227.4,14.8,533.9,27.5,1.664,0.242,0.224,0.601,15.391,1.906,12.894,3.1713810316139766
2022-07-18,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,5.57,171.3,17.3,649.1,23.3,1.478,0.229,0.075,0.56,13.745,1.707,15.593,3.0482142857142858
2022-07-19,Blind Oso,A,Surface,34111,20.06,8.15,118.2,8.97,28.1,0.5,0.2,81.08,495,68.2,1681.9,281.6,0.512,33.176,0.168,9.182,91.448,33.688,34.512,3.668917447179264
2022-07-19,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,87.44,629.6,87.1,1443.9,243.4,0.528,33.551,0.17,9.297,93.698,34.079,53.020999999999994,3.6655910508766265
2022-07-19,Canals,A,Surface,72077,43.28,3.24,56.4,7.68,31.3,1.2,NA,11.48,681.7,52.3,794,74.1,1.367,0.186,0.128,0.101,149.417,1.553,50.747,15.376237623762375
2022-07-19,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,11.11,605.8,58.4,692,62.8,1.279,0.186,0.122,0.065,149.95,1.4649999999999999,56.935,22.538461538461537
2022-07-19,Gulf,A,Surface,59178,36.85,5.81,91.4,7.63,28.3,0.4,0.3,7.31,94.1,9.5,171,18.2,1.476,0.174,0.034,0.205,13.384,1.65,7.85,8.048780487804878
2022-07-19,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,7.44,98,10.9,149.7,17,1.416,0.131,0.088,0.546,13.164,1.547,9.353,2.833333333333333
