site,date,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
RD,2022-07-08,29.5,36.74,5.93,8.03,2.7199999999999998,304.35,12.25,509.6,17.4,0.3145,0.14150000000000001,0.07,0.451,10.7395,0.456,11.794,1.009637322004563
BO,2022-07-09,28.8,32.16,6.89,9.76,24.1,830.1,55.25,1439.35,180.7,0.4135,0.17099999999999999,0.1515,3.4225000000000003,86.44,0.5845,54.6655,0.17073274850056563
C2,2022-07-09,30.8,39.99,3.46,7.84,5.4,729.25,53.4,755.75,70.2,0.884,0.1495,0.067,0.3095,148.288,1.0335,52.3665,3.3449868211865112
RD,2022-07-09,29.3,35.48,6.03,8.04,3.83,270.85,11.100000000000001,306,16.549999999999997,1.2025,0.1625,0.08750000000000001,0.403,10.6395,1.3649999999999998,9.735,3.384779709572261
BO,2022-07-11,29.6,41.11,5.32,8.45,21.265,796,55.1,1113.2,127.55,0.616,0.16999999999999998,0.1655,2.1605,107.57300000000001,0.786,54.314,0.36385452568059723
C2,2022-07-11,31.1,41.87,4.3,8.08,6.52,681.8,53.95,733.85,74.95,0.7735000000000001,0.162,0.0945,0.040499999999999994,140.382,0.9355,53.0145,25.857843137254903
RD,2022-07-11,29.6,36.7,5.93,8.11,3.47,155.5,9.45,197.45,17.4,0.4235,0.16649999999999998,0.123,0.34650000000000003,9.2635,0.59,8.86,1.7036118980169972
BO,2022-07-12,29.5,36.01,6.17,7.96,39.775,778.2,63.75,1280.05,164.7,0.844,1.092,0.362,2.987,96.75049999999999,1.936,61.814,0.648098902428047
C2,2022-07-12,31,40.64,2.7,7.66,7.16,650.95,60.35,726.7,76.1,0.7985,0.1275,0.1015,0.0215,140.0845,0.9259999999999999,59.42400000000001,103.04736842105262
RD,2022-07-12,29.6,35.35,5.83,7.89,3.7199999999999998,125.85,10.5,137.7,19.8,0.863,0.154,0.08399999999999999,0.42600000000000005,5.5995,1.017,9.483,2.374138083451202
BO,2022-07-13,30,34.62,5.6,8.92,28.11,715.0999999999999,68.55000000000001,1372.25,178.60000000000002,0.5589999999999999,0.16699999999999998,0.0605,1.0285,75.7925,0.726,67.82400000000001,0.7046609143661248
C2,2022-07-13,31.3,42.2,2.29,8.17,8.425,644.3499999999999,61.75,782.95,90.45,1.678,0.231,0.03,0.07,142.938,1.909,59.840999999999994,27.80078854534136
RD,2022-07-13,28.5,36.44,6.1,8.22,5.130000000000001,140.85000000000002,16.5,204.5,28.6,1.1575000000000002,0.2945,0.22599999999999998,0.558,0.4585,1.452,15.048,2.6022494000636076
BO,2022-07-14,29.2,30.65,5.18,8.52,37.875,702.5,56.75,1348.85,170.3,1.0565,0.1265,0.0685,1.6585,66.6135,1.183,55.567,0.7129283506092017
C2,2022-07-14,31.5,42.31,2.11,7.75,7.18,654.4000000000001,56.2,763.85,72.9,2.752,0.20400000000000001,0.0505,0.139,144.286,2.956,53.244,21.34268058368386
RD,2022-07-14,27.8,36.41,6.46,7.79,4.595000000000001,99.4,13,176.3,28.549999999999997,1.8725,0.131,0.052,0.3345,0.15050000000000002,2.0035,10.996500000000001,5.99852577430456
BO,2022-07-15,28.1,24.99,7.65,8.96,59.56,699,66.65,1493.1,211.3,0.692,6.6754999999999995,0.16999999999999998,0.5675,72.849,7.3675,59.282500000000006,12.984273009011694
C2,2022-07-15,31.3,41.06,2.42,8.04,9.195,647.9,57.7,738.7,69.9,1.7069999999999999,0.21950000000000003,0.111,0.12,147.548,1.9264999999999999,55.7735,16.12504347826087
RD,2022-07-15,27.3,35.25,5.95,8.08,5.32,129.35,9.8,229.5,17.05,2.2355,0.172,0.14250000000000002,0.428,2.4435000000000002,2.4074999999999998,7.3925,5.6210026212319795
BO,2022-07-16,27.9,23.95,9.44,8.87,27.64,693.25,99.3,1460.6,265.65,1.7338749999999998,0.1955,0.07325000000000001,0.08762500000000001,143.714125,1.9293749999999998,97.37062499999999,22.336781523960187
C2,2022-07-16,30.8,42.57,1.57,7.81,4.465,583.2,56.45,670.25,69,0.787875,2.01525,0.16525,1.560375,78.001375,2.8031249999999996,53.646874999999994,1.796543283308931
RD,2022-07-16,26.7,36.29,6.04,7.83,3.6900000000000004,108.15,12.4,244.4,28.05,1.532125,0.18787500000000001,0.126125,0.436625,2.1630000000000003,1.72,10.68,3.9366662072088925
BO,2022-07-17,28.1,21.9,9.22,8.3,39.474999999999994,696.7,116.30000000000001,1601.05,313.4,1.1025,52.202,0.317,6.751,105.32050000000001,53.304500000000004,62.99550000000001,7.898286985513607
C2,2022-07-17,31.1,43.14,3.07,7.82,9.99,653.9,59.15,734.1,75.7,1.1335,0.16249999999999998,0.16249999999999998,0.0475,147.64350000000002,1.2959999999999998,57.854,28.14010989010989
RD,2022-07-17,27.3,36.73,5.95,7.78,4.75,117.55000000000001,13.55,195.9,27.1,1.0670000000000002,0.1575,0.04,0.47950000000000004,8.8415,1.2245,12.3255,2.5763913808344348
BO,2022-07-18,29,23.87,9.07,9.18,96.39500000000001,1198.95,98.3,2076.6,312.85,0.692,0.16799999999999998,0.065,3.466,70.91749999999999,0.86,97.44,0.24803425190347556
C2,2022-07-18,31.3,43.2,2.82,7.99,12.504999999999999,654.05,62.75,788.05,84.3,1.1975,0.166,0.14450000000000002,0.0235,149.239,1.3635,61.3865,62.77058823529411
RD,2022-07-18,28.1,36.79,5.82,7.6,5.77,199.35000000000002,16.05,591.5,25.4,1.571,0.2355,0.1495,0.5805,14.568,1.8065,14.243500000000001,3.109797658664131
BO,2022-07-19,28.1,20.06,8.15,8.97,84.25999999999999,562.3,77.65,1562.9,262.5,0.52,33.3635,0.169,9.2395,92.573,33.8835,43.76649999999999,3.667254249027945
C2,2022-07-19,31.3,43.28,3.24,7.68,11.295,643.75,55.349999999999994,743,68.44999999999999,1.323,0.186,0.125,0.083,149.68349999999998,1.509,53.841,18.957349581111956
RD,2022-07-19,28.3,36.85,5.81,7.63,7.375,96.05,10.2,160.35,17.6,1.446,0.1525,0.061,0.3755,13.274000000000001,1.5985,8.6015,5.441056910569106
BO,2022-08-09,29.6,37.06,5.46,8.58,28.490000000000002,605.9,52.2,931.9499999999999,93.35,1.292,0.16999999999999998,0.1605,4.948,75.25,1.462,50.738,0.29551502920093486
C2,2022-08-09,31,45.55,3.45,8.06,12.285,648.05,55.55,700.05,61.65,1.33,0.14250000000000002,0.1335,0.054,158.6455,1.4725000000000001,54.0775,28.128571428571433
RD,2022-08-09,29.9,37.25,5.56,8.07,3.26,95.15,10.25,127.1,14.55,1.193,0.135,0.0925,0.5205,42.456500000000005,1.3279999999999998,8.922,2.5573343096141468
BO,2022-09-13,30.8,28.73,6.27,8.35,19.174999999999997,518.0999999999999,52,877.1500000000001,115.6,1.754,6.7815,0.186,4.9175,152.71499999999997,8.535499999999999,43.4645,1.7358021124738314
C2,2022-09-13,30.6,37.29,5.72,8.15,12.775,521.6500000000001,55.75,579.75,66.6,7.0085,1.4835,0.3165,0.404,120.46600000000001,8.492,47.257999999999996,21.020574089391292
RD,2022-09-13,29.6,36.67,5.75,8.05,2.585,102.8,10.35,152.25,18.6,1.4929999999999999,0.0615,0.0225,0.459,22.9865,1.5545,8.7955,3.4385438059441236
BO,2022-10-18,18.8,32.65,6.82,8.35,16.67,455.25,105.35,968.55,184.5,19.275,35.546,1.1869999999999998,10.4435,132.4615,54.821,50.528999999999996,5.251365561994925
C2,2022-10-18,25.7,36.9,2.14,7.94,5.46,506.54999999999995,65.1,533.45,69.5,13.219999999999999,1.681,0.4135,0.9075,107.305,14.901,50.199,16.420103599763948
RD,2022-10-18,23.3,30.02,7.13,8.02,7.140000000000001,158.2,17.9,201.9,27.5,2.5,0.506,0.073,0.8545,21.104,3.0060000000000002,14.894,3.517784016982812
BO,2022-11-15,15.7,31.16,8.61,8.31,29.405,398.15,65.6,578.4000000000001,94.65,2.6395,29.423000000000002,0.967,5.417,79.809,32.0625,33.5375,5.918884567380543
C2,2022-11-15,19.3,34.3,4.75,8.02,3.7350000000000003,402.5,53.2,445.6,61.8,7.7155000000000005,3.5225,0.4415,0.8215,69.3015,11.238,41.962,13.691123776810795
RD,2022-11-15,18.7,31.31,7.79,8.08,7.234999999999999,165.25,17.55,200.4,24.5,2.395,0.4195,0.10650000000000001,0.6970000000000001,17.816,2.8145,14.735500000000002,3.99256874711375
BO,2022-12-14,20.5,31.99,7.45,8.23,15.905000000000001,291.9,34.85,456.75,56.75,2.6765,7.414,0.5715,2.0865,55.789500000000004,10.090499999999999,24.759500000000003,4.8365860432931935
C2,2022-12-14,22.4,32.8,4.35,8.1,12.145,346.95,33.150000000000006,391.5,38.5,2.1045,0.466,0.137,0.22999999999999998,40.7415,2.5705,30.579500000000003,11.579899749373435
RD,2022-12-14,19.4,31.91,12.78,8.1,19.75,123.95,15.15,237.05,30.900000000000002,2.9130000000000003,0.829,0.112,0.6234999999999999,10.943,3.742,11.408000000000001,5.982106197422242
